Frequency Log(Hz), Gain (dB), Phase (deg)
1.99990217895395, -0.0166725073236627, -0.0668389895327339
2.1000768217873, -0.00683737784818921, -0.0579498573694575
2.20005968593025, -0.0117824944023038, -0.164091151763305
2.30002096077692, -0.0126677848875357, -0.122602423747148
2.39998107663457, -0.0102086926081471, -0.107817452212422
2.50000386498445, -0.0118632521915418, -0.224462007255185
2.59998545159895, -0.00573796730823393, -0.24206266954715
2.70000347479331, -0.0140837797434089, -0.251985907159151
2.80000942972812, -0.00647378480462331, -0.373130620375956
2.89999824459179, -0.00596720553557052, -0.444544917659236
3.00000330702098, -0.00511956123703484, -0.59516407165515
3.09999650842934, -0.00612016698573911, -0.663334070414249
3.19999588945832, -0.0161874390468463, -0.889015936833775
3.30000068984962, -0.0111066224827543, -1.07421019944157
3.39999717920894, -0.0129675272731546, -1.41667725611816
3.49999746978964, -0.0102414776198461, -1.78819058409923
3.6000006915169, -0.0115876320559545, -2.25214832519437
3.69999943970551, -0.0197933934197869, -2.85942050127353
3.7999998142457, -0.0282336674006601, -3.63256464376978
3.90000079057144, -0.0411666386734277, -4.54124932319332
3.99999926235039, -0.0627928930714366, -5.68315413713504
4.09999972124884, -0.0840815333139169, -7.22796633886366
4.19999971751092, -0.122199645522807, -8.99287075213472
4.29999967627841, -0.190961090919645, -11.1895091721006
4.40000039965217, -0.293079642909256, -14.0653490301266
4.50000002787886, -0.444732105630249, -17.4191474798832
4.60000018352825, -0.67949211948753, -21.5663342185013
4.69999984321598, -1.0094381693498, -26.3271647308968
4.80000013476521, -1.48687956729472, -31.79310362815
4.90000002677911, -2.15388629356222, -37.9162813979415
5.00000007128752, -3.04431434942657, -44.2643001109764
5.10000004252948, -4.14331060096231, -50.6568453575372
5.19999997271323, -5.46564911210505, -56.6282112450716
5.29999998035002, -7.0201396759847, -62.0393596508955
5.39999999709807, -8.69750888206376, -66.8432652669452
5.50000002787886, -10.5113345539573, -70.951607114394
5.59999998033263, -12.4335041266001, -73.8760057246219
5.70000000462006, -14.5189430202925, -76.653027891258
5.80000000655743, -16.7275217235511, -78.7233678703461
5.90000000131934, -19.1836610213596, -79.4222495875992
5.99999999039388, -21.8361400588226, -80.0854876477288
6.0999999943374, -25.2819193065485, -78.0987130981283
6.19999999823345, -29.9083124086933, -72.3836229117289
6.30000000062145, -37.5922235077591, -42.8191197023675
6.39999999709807, -35.963819867973, 50.9274227430118
6.50000000229804, -29.3240147471695, 71.2162133709917
6.60000000065219, -24.8680982078552, 76.6162349612882
6.70000000058496, -21.6200667823082, 77.3434597946907
6.80000000014704, -19.0176228828667, 76.9161677476498
6.89999999877336, -16.6994124438774, 75.1850752438823
7.00000000050558, -14.4152547697233, 72.8293349972965
7.10000000076301, -12.2864988839755, 70.7108013366932
7.19999999950946, -10.3840378649456, 65.9459186940462
7.29999999960788, -8.35523056608684, 61.4889571844609
7.30102999566398, -8.11670313861165, 61.6166721709456
