Frequency Log(Hz), Gain (dB), Phase (deg)
1.99990217895395, -31.490530257448, -69.0541412673695
2.1000768217873, -33.2263703929667, -65.0710618971912
2.20005968593025, -34.8537520282468, -60.0166895675865
2.30002096077692, -36.2891041592547, -54.8292852376793
2.39998107663457, -37.5686277594201, -48.3297854825038
2.50000386498445, -38.6028849711454, -42.547647470996
2.59998545159895, -39.4779158614738, -36.3022741955034
2.70000347479331, -40.1035466937145, -30.6685913149015
2.80000942972812, -40.5660022956712, -24.6349837218472
2.89999824459179, -40.7944008837269, -20.9263006988226
3.00000330702098, -41.0563631302588, -16.0890501253581
3.09999650842934, -41.2432919346074, -13.4428875429772
3.19999588945832, -41.2522337125079, -11.0014083032392
3.30000068984962, -41.3021012016373, -8.25550802423803
3.39999717920894, -41.3405047675623, -6.69987474711682
3.49999746978964, -41.3809928488309, -5.55126567745715
3.6000006915169, -41.3675164119642, -4.19470466329884
3.69999943970551, -41.4270817240417, -3.1139809544609
3.7999998142457, -41.4305047741815, -2.16873953301511
3.90000079057144, -41.4079668350228, -1.64703360748454
3.99999926235039, -41.4207581944465, -0.820421628107552
4.09999972124884, -41.4265235764515, -0.286708018338041
4.19999971751092, -41.430078014836, 0.298894517619967
4.29999967627841, -41.4440484473294, 0.945911389896495
4.40000039965217, -41.4566217295417, 1.42116398858967
4.50000002787886, -41.4555079939482, 2.26749250585764
4.60000018352825, -41.4846078234863, 3.21039748151352
4.69999984321598, -41.479097712927, 4.28671271788285
4.80000013476521, -41.4577568095328, 5.65912952595725
4.90000002677911, -41.4339147222165, 7.32917687915754
5.00000007128752, -41.3908977693867, 9.47493886904701
5.10000004252948, -41.2857822537848, 12.086935706185
5.19999997271323, -41.154374559436, 15.0498043104592
5.29999998035002, -40.9352062257426, 18.6890226124908
5.39999999709807, -40.6431002114714, 22.7768373801951
5.50000002787886, -40.1837371484082, 27.4737195975197
5.59999998033263, -39.6510751583534, 32.6483430908087
5.70000000462006, -38.9264246837627, 38.113002169818
5.80000000655743, -38.0063220556371, 43.714082413238
5.90000000131934, -36.8990739232709, 49.0622616710348
5.99999999039388, -35.6240817050783, 54.0065707018627
6.0999999943374, -34.2213557219475, 58.5655495896824
6.19999999823345, -32.7032698494819, 62.4833335547386
6.30000000062145, -31.0856576622283, 65.9316748162973
6.39999999709807, -29.4229349206512, 68.6982444519019
6.50000000229804, -27.6848616760951, 70.8004282344265
6.60000000065219, -25.90149448201, 72.7395914609155
6.70000000058496, -24.1301976328881, 73.9006022810335
6.80000000014704, -22.2400078951769, 74.248757239991
6.89999999877336, -20.3843096311454, 74.2881086168452
7.00000000050558, -18.4801817736117, 73.9327477984736
7.10000000076301, -16.5828662842539, 72.8754605760825
7.19999999950946, -14.4926958642419, 71.2123505485878
7.29999999960788, -12.8133459968311, 65.7606231940855
7.30102999566398, -12.528518913671, 66.6285002100463
