Frequency Log(Hz), Gain(dB), Phase(deg)
3.99999926235039,-59.1355640252373,30.5128819287483
4.09999972124884,-55.1187648424121,1.1266852641354
4.19999971751092,-54.4615284237002,22.3580503362432
4.29999967627841,-57.451877591182,22.698710677155
4.40000039965217,-57.1989625103227,2.82401890490929
4.50000002787886,-53.8147526245162,48.7572338203155
4.60000018352825,-55.0086543239557,39.2856262094606
4.69999984321598,-51.358442077649,67.1409424833459
4.80000013476521,-49.3399139785582,68.5711851110141
4.90000002677911,-49.0894268448313,88.5949874479665
5.00000007128752,-47.2539799334397,71.2335794561694
5.10000004252948,-45.5064913484174,76.6428862150964
5.19999997271323,-43.2076196110311,82.6852285019441
5.29999998035002,-41.0676465932723,80.1071625244007
5.39999999709807,-39.0081997168689,83.9650885981831
5.50000002787886,-36.9866999389718,85.233880236909
5.59999998033263,-34.9335574960955,85.7637874771007
5.70000000462006,-32.9761629045058,86.8634044554781
5.80000000655743,-30.8424793426046,87.502730639538
5.90000000131934,-28.8830210085854,88.1561479922881
5.99999999039388,-26.8922148702815,88.4789752044192
6.0999999943374,-24.803637666062,88.9655658568874
6.19999999823345,-22.6841658307434,88.920041596284
6.30000000062145,-20.6169702229297,89.1076910939004
6.39999999709807,-18.2310803300467,89.0071261431635
6.50000000229804,-15.8073738884245,88.3148567635216
6.60000000065219,-13.082144737548,87.1234440042501
6.70000000058496,-9.7823726773507,84.0784852117802
6.80000000014704,-5.58501223213524,74.4861973129857
6.89999999877336,-0.658631933145613,44.3975731789619
7.00000000050558,-1.3341475545716,-9.06118922629962
7.10000000076301,-5.73035613215845,-30.4585010080084
7.19999999950946,-9.04145933312773,-34.5458984004726
7.29999999960788,-11.1751900809012,-32.3241722161672
7.30102999566398,-11.2145176160817,-32.7931119435899
