Frequency Log(Hz), Gain(dB), Phase(deg)
3.00000330702098,-5.89058977450861,-0.0032179445670668
3.00500992863829,-5.89205904606694,-0.00477700110704509
3.00999901826351,-5.89152350678468,-0.00525905423713987
3.01500959721669,-5.89065249502372,-5.00457607207908E-05
3.02000165441083,-5.89029916609237,0.0077136566032649
3.02499426213247,-5.89119637575698,0.00422167949723722
3.03000562693885,-5.89153812299526,0.00132794914085356
3.03499714110545,-5.89143287944839,0.00255202107029883
3.04000571832066,-5.89081249320221,-0.00684098107654121
3.04499365893573,-5.89152182543241,-0.00100553726339779
3.04999706515493,-5.89158513693731,0.00844160171319189
3.05499694131327,-5.89256901181646,-0.00333091090489339
3.05999275589204,-5.89081874086099,-0.00575477664479212
3.06500140940756,-5.89050288657012,-0.00650944609949757
3.07000459811,-5.89103065757899,-0.00199070558895083
3.07500185499283,-5.89130169344054,-0.00378672609660208
3.0799927309839,-5.89227844363298,0.00366648177722225
3.08499342357279,-5.89012782402734,0.00303973339516672
3.09000294779621,-5.8904405399643,-0.000958062436218888
3.0950040985896,-5.89081792634213,0.0036381507234543
3.09999650842934,-5.89171940331855,-0.00190315478412915
3.1049957057457,-5.89120790028032,-0.00579095278792028
3.11000080906787,-5.8932094198588,0.00925585278499511
3.11499544576045,-5.89124740507228,0.000547669447271416
3.11999466293782,-5.89099508183484,-0.00578937279779106
3.12499765403033,-5.89275676364181,-0.000778903105853354
3.13000363828281,-5.88876821001729,-0.0108461952760309
3.13499704017419,-5.89211400938936,-0.00916034482971947
3.14000693911243,-5.89323589245049,0.0025537325424467
3.14500315417466,-5.89142573985496,-0.00478490585482006
3.14999981694791,-5.89259263623643,-0.00428287958889598
3.15499626213765,-5.89064365154882,-0.00151013901369045
3.16000583832442,-5.89202663875396,-0.0114200051607589
3.16499978259092,-5.89254758980607,-0.00046779550081012
3.17000532186667,-5.89163343049103,-0.000719905896925745
3.17499437664947,-5.89064467611053,-0.00237183171428454
3.17999358236785,-5.89200457946732,-0.00479230466947186
3.18500194338571,-5.89057767298174,-0.007512687022949
3.190005436766,-5.89185393333875,-0.000109498770658774
3.19500357510784,-5.89224953056166,-0.00565200158969993
3.19999588945832,-5.89096856384826,-0.00869185404882937
3.20499454320004,-5.89256512943129,0.00636785532098397
3.20999867030517,-5.89222117310398,0.000156691856823325
3.2149951049291,-5.89087416087497,0.00406643294220731
3.21999564412006,-5.88994755176935,0.00322088430836759
3.22499949691214,-5.89023096507646,0.00374712758630415
3.23000589783148,-5.8924728067203,-0.0117283479495907
3.23500233448344,-5.89126625454352,-0.00916092587465662
3.24000013239226,-5.89177311467547,0.00734822056757063
3.24499859482012,-5.89073293685985,0.00691327100405367
3.24999704841057,-5.88948689621022,-0.00674813239286902
3.25499484266252,-5.89133597596585,0.00167977937647525
3.26000246307543,-5.89143929415073,-0.00723125446352603
3.26499694886067,-5.89173488687981,-2.46596598326059E-05
3.26999981795393,-5.89009039364089,0.00270309222046389
3.27499939690885,-5.89124750375148,-0.00804536137821498
3.279995146171,-5.89133213794499,-0.0109713224289835
3.28499703799579,-5.89229718745815,0.00331215639885746
3.29000421164423,-5.89272113562216,0.0112655925034775
3.29499532746438,-5.89217994638236,-0.00100029721658577
